,건축년도,주택유형,본번,부번,층,도로명,단지명,전용면적...,시군구
199,1987,아파트,35,0,4,중부대로271번길 27-9,주공,49.94,경기도 수원시 영통구 원천동
200,1987,아파트,35,0,4,중부대로271번길 27-9,주공,61.52,경기도 수원시 영통구 원천동
201,1987,아파트,35,0,5,중부대로271번길 27-9,주공,32.39,경기도 수원시 영통구 원천동
202,1987,아파트,35,0,5,중부대로271번길 27-9,주공,41.3,경기도 수원시 영통구 원천동
203,1987,아파트,35,0,5,중부대로271번길 27-9,주공,49.94,경기도 수원시 영통구 원천동
204,1987,아파트,35,0,5,중부대로271번길 27-9,주공,66.38,경기도 수원시 영통구 원천동
205,1987,아파트,35,0,6,중부대로271번길 27-9,주공,32.39,경기도 수원시 영통구 원천동
206,1987,아파트,35,0,6,중부대로271번길 27-9,주공,41.3,경기도 수원시 영통구 원천동
207,1987,아파트,35,0,6,중부대로271번길 27-9,주공,61.52,경기도 수원시 영통구 원천동
208,1987,아파트,35,0,6,중부대로271번길 27-9,주공,66.56,경기도 수원시 영통구 원천동
209,1987,아파트,35,0,7,중부대로271번길 27-9,주공,32.39,경기도 수원시 영통구 원천동
210,1987,아파트,35,0,7,중부대로271번길 27-9,주공,41.3,경기도 수원시 영통구 원천동
211,1987,아파트,35,0,7,중부대로271번길 27-9,주공,49.94,경기도 수원시 영통구 원천동
212,1987,아파트,35,0,8,중부대로271번길 27-9,주공,41.3,경기도 수원시 영통구 원천동
213,1987,아파트,35,0,8,중부대로271번길 27-9,주공,49.94,경기도 수원시 영통구 원천동
214,1987,아파트,35,0,8,중부대로271번길 27-9,주공,67.28,경기도 수원시 영통구 원천동
215,1987,아파트,35,0,9,중부대로271번길 27-9,주공,32.39,경기도 수원시 영통구 원천동
216,1987,아파트,35,0,9,중부대로271번길 27-9,주공,41.3,경기도 수원시 영통구 원천동
217,1987,아파트,35,0,10,중부대로271번길 27-9,주공,32.39,경기도 수원시 영통구 원천동
218,1987,아파트,35,0,10,중부대로271번길 27-9,주공,41.3,경기도 수원시 영통구 원천동
219,1987,아파트,35,0,10,중부대로271번길 27-9,주공,49.94,경기도 수원시 영통구 원천동
220,1987,아파트,35,0,11,중부대로271번길 27-9,주공,41.3,경기도 수원시 영통구 원천동
221,1987,아파트,35,0,11,중부대로271번길 27-9,주공,61.52,경기도 수원시 영통구 원천동
222,1987,아파트,35,0,12,중부대로271번길 27-9,주공,32.39,경기도 수원시 영통구 원천동
223,1987,아파트,35,0,12,중부대로271번길 27-9,주공,41.3,경기도 수원시 영통구 원천동
224,1987,아파트,35,0,12,중부대로271번길 27-9,주공,49.94,경기도 수원시 영통구 원천동
225,1987,아파트,35,0,12,중부대로271번길 27-9,주공,61.52,경기도 수원시 영통구 원천동
226,1987,아파트,35,0,13,중부대로271번길 27-9,주공,32.39,경기도 수원시 영통구 원천동
227,1987,아파트,35,0,13,중부대로271번길 27-9,주공,41.3,경기도 수원시 영통구 원천동
228,1987,아파트,35,0,13,중부대로271번길 27-9,주공,61.52,경기도 수원시 영통구 원천동
229,1987,아파트,35,0,14,중부대로271번길 27-9,주공,32.39,경기도 수원시 영통구 원천동
230,1987,아파트,35,0,14,중부대로271번길 27-9,주공,41.3,경기도 수원시 영통구 원천동
231,1987,아파트,35,0,14,중부대로271번길 27-9,주공,49.94,경기도 수원시 영통구 원천동
232,1987,아파트,35,0,14,중부대로271번길 27-9,주공,61.52,경기도 수원시 영통구 원천동
233,1987,아파트,35,0,14,중부대로271번길 27-9,주공,67.28,경기도 수원시 영통구 원천동
234,1987,아파트,35,0,15,중부대로271번길 27-9,주공,32.39,경기도 수원시 영통구 원천동
235,1987,아파트,35,0,15,중부대로271번길 27-9,주공,41.3,경기도 수원시 영통구 원천동
236,1987,아파트,35,0,15,중부대로271번길 27-9,주공,49.94,경기도 수원시 영통구 원천동
237,1987,아파트,35,0,15,중부대로271번길 27-9,주공,66.56,경기도 수원시 영통구 원천동
238,2007,아파트,36,20,8,송정로76번길 14,가림,95.84,경기도 수원시 장안구 정자동
239,2019,아파트,36,21,5,송정로76번길 6,예은퍼스트타워,84.97,경기도 수원시 장안구 정자동
240,1982,아파트,36,23,1,송정로 82,송학,31.74,경기도 수원시 장안구 정자동
241,1982,아파트,36,23,2,송정로 82,송학,31.74,경기도 수원시 장안구 정자동
242,1982,아파트,36,23,3,송정로 82,송학,31.74,경기도 수원시 장안구 정자동
243,1982,아파트,36,23,4,송정로 82,송학,31.74,경기도 수원시 장안구 정자동
244,1982,아파트,36,23,4,송정로 82,송학,60.07,경기도 수원시 장안구 정자동
245,1982,아파트,36,23,5,송정로 82,송학,31.74,경기도 수원시 장안구 정자동
246,1982,아파트,36,23,6,송정로 82,송학,31.74,경기도 수원시 장안구 정자동
247,1985,아파트,41,12,4,장안로103번길 4,경원,41.58,경기도 수원시 장안구 정자동
248,1985,아파트,41,12,6,장안로103번길 4,경원,41.58,경기도 수원시 장안구 정자동
249,2003,아파트,45,2,4,장안로103번길 37,노블레스,84.4326,경기도 수원시 장안구 정자동
250,2003,아파트,45,2,5,장안로103번길 37,노블레스,84.4326,경기도 수원시 장안구 정자동
251,2003,아파트,45,2,7,장안로103번길 37,노블레스,84.4326,경기도 수원시 장안구 정자동
252,2003,아파트,45,2,8,장안로103번길 37,노블레스,84.4326,경기도 수원시 장안구 정자동
253,1987,아파트,45,8,4,수성로275번길 45,대성,42.21,경기도 수원시 장안구 정자동
254,1987,아파트,45,8,5,수성로275번길 45,대성,44.64,경기도 수원시 장안구 정자동
255,1998,아파트,50,0,3,매봉로27번길 11,극동,84.39,경기도 수원시 영통구 매탄동
256,1998,아파트,50,0,4,매봉로27번길 11,극동,59.93,경기도 수원시 영통구 매탄동
257,1998,아파트,50,0,4,매봉로27번길 11,극동,84.39,경기도 수원시 영통구 매탄동
258,1998,아파트,50,0,5,매봉로27번길 11,극동,59.93,경기도 수원시 영통구 매탄동
259,1998,아파트,50,0,6,매봉로27번길 11,극동,84.39,경기도 수원시 영통구 매탄동
260,1998,아파트,50,0,9,매봉로27번길 11,극동,59.93,경기도 수원시 영통구 매탄동
261,1998,아파트,50,0,10,매봉로27번길 11,극동,59.93,경기도 수원시 영통구 매탄동
262,1995,아파트,65,0,1,만석로 250-9,영광,59.86,경기도 수원시 장안구 송죽동
263,1995,아파트,65,0,2,만석로 250-9,영광,59.86,경기도 수원시 장안구 송죽동
264,1995,아파트,65,0,4,만석로 250-9,영광,59.86,경기도 수원시 장안구 송죽동
265,1995,아파트,65,0,5,만석로 250-9,영광,59.86,경기도 수원시 장안구 송죽동
266,1995,아파트,65,0,8,만석로 250-9,영광,84.98,경기도 수원시 장안구 송죽동
267,1995,아파트,65,0,10,만석로 250-9,영광,59.86,경기도 수원시 장안구 송죽동
268,1995,아파트,65,0,13,만석로 250-9,영광,59.86,경기도 수원시 장안구 송죽동
269,1995,아파트,65,0,14,만석로 250-9,영광,84.98,경기도 수원시 장안구 송죽동
270,1995,아파트,65,0,17,만석로 250-9,영광,84.98,경기도 수원시 장안구 송죽동
