buildYear,buyerGbn,cdealDay,cdealType,dealAmount,dealDay,dealMonth,dealYear,dealingGbn,estateAgentSggNm,excluUseAr,floor,jibun,offiNm,sggCd,sggNm,slerGbn,umdNm,지역구명
2016, , , ,"12,700",25,1,2021, , ,19.2717,3,1256-1,테라스힐,41117,수원시 영통구, ,이의동,수원시 영통구
2018, ,21.03.05,O,"16,500",30,1,2021, , ,22.83,15,1336-1,광교엘포트아이파크,41117,수원시 영통구, ,이의동,수원시 영통구
2014, , , ,"10,400",30,1,2021, , ,16.803,7,1349,광교 더로프트,41117,수원시 영통구, ,이의동,수원시 영통구
2015, , , ,"78,000",27,1,2021, , ,84.83,6,1014,광교 힐스테이트 레이크,41117,수원시 영통구, ,하동,수원시 영통구
2014, , , ,"52,000",18,1,2021, , ,62.99,6,1352,에듀하임1309오피스텔,41117,수원시 영통구, ,이의동,수원시 영통구
2018, , , ,"17,000",30,1,2021, , ,21.58,5,1336-1,광교엘포트아이파크,41117,수원시 영통구, ,이의동,수원시 영통구
2018, , , ,"17,000",30,1,2021, , ,21.58,13,1336-1,광교엘포트아이파크,41117,수원시 영통구, ,이의동,수원시 영통구
2015, , , ,"20,000",30,1,2021, , ,27.48,8,1338,광교센트럴푸르지오시티,41117,수원시 영통구, ,이의동,수원시 영통구
2018, , , ,"16,500",30,1,2021, , ,22.83,5,1336-1,광교엘포트아이파크,41117,수원시 영통구, ,이의동,수원시 영통구
2018, , , ,"17,000",20,1,2021, , ,22.83,9,1336-1,광교엘포트아이파크,41117,수원시 영통구, ,이의동,수원시 영통구
2014, , , ,"34,900",16,1,2021, , ,46.91,7,1352,에듀하임1309오피스텔,41117,수원시 영통구, ,이의동,수원시 영통구
2019, , , ,"68,000",22,1,2021, , ,74.973,3,589,광교중흥에스클래스,41117,수원시 영통구, ,원천동,수원시 영통구
2018, , , ,"16,500",21,1,2021, , ,22.83,4,1336-1,광교엘포트아이파크,41117,수원시 영통구, ,이의동,수원시 영통구
2019, , , ,"123,900",22,1,2021, , ,84.8322,2,589,광교중흥에스클래스,41117,수원시 영통구, ,원천동,수원시 영통구
2014, , , ,"57,000",16,1,2021, , ,62.99,10,1352,에듀하임1309오피스텔,41117,수원시 영통구, ,이의동,수원시 영통구
 , , , ,"59,000",16,1,2021, , ,58.83,5,1019,광교 더샵 레이크파크,41117,수원시 영통구, ,하동,수원시 영통구
2014, , , ,"15,000",23,1,2021, , ,24.98,6,1352,에듀하임1309오피스텔,41117,수원시 영통구, ,이의동,수원시 영통구
2013, , , ,"13,000",21,1,2021, , ,25.35,10,1257-4,광교 파인렉스2,41117,수원시 영통구, ,이의동,수원시 영통구
2019, , , ,"68,000",23,1,2021, , ,72.1441,2,589,광교중흥에스클래스,41117,수원시 영통구, ,원천동,수원시 영통구
2015, , , ,"19,500",23,1,2021, , ,29.711,6,1332,"광교C1 호반베르디움, Summit Place광교",41117,수원시 영통구, ,이의동,수원시 영통구
2015, , , ,"69,400",9,1,2021, , ,84.68,3,1014,광교 힐스테이트 레이크,41117,수원시 영통구, ,하동,수원시 영통구
2015, , , ,"22,500",9,1,2021, , ,32.259,4,1332,"광교C1 호반베르디움, Summit Place광교",41117,수원시 영통구, ,이의동,수원시 영통구
2018, , , ,"16,700",26,1,2021, , ,22.83,7,1336-1,광교엘포트아이파크,41117,수원시 영통구, ,이의동,수원시 영통구
2018, , , ,"106,000",26,1,2021, , ,77.5648,3,1021,힐스테이트 광교,41117,수원시 영통구, ,하동,수원시 영통구
2014, , , ,"37,000",26,1,2021, , ,46.91,11,1352,에듀하임1309오피스텔,41117,수원시 영통구, ,이의동,수원시 영통구
2015, , , ,"14,000",29,1,2021, , ,22.62,8,1338,광교센트럴푸르지오시티,41117,수원시 영통구, ,이의동,수원시 영통구
2015, , , ,"13,500",19,1,2021, , ,22.62,7,1338,광교센트럴푸르지오시티,41117,수원시 영통구, ,이의동,수원시 영통구
2020, , , ,"101,730",26,1,2021, , ,84.6706,28,1017-4,포레나 광교,41117,수원시 영통구, ,하동,수원시 영통구
2015, , , ,"12,000",17,1,2021, , ,21.19,9,1258-1,킴앤코 시티하임II,41117,수원시 영통구, ,이의동,수원시 영통구
2018, , , ,"16,000",22,1,2021, , ,21.58,9,1336-1,광교엘포트아이파크,41117,수원시 영통구, ,이의동,수원시 영통구
2015, , , ,"12,000",17,1,2021, , ,21.19,9,1258-1,킴앤코 시티하임II,41117,수원시 영통구, ,이의동,수원시 영통구
2015, , , ,"31,700",29,1,2021, , ,36.78,14,1338,광교센트럴푸르지오시티,41117,수원시 영통구, ,이의동,수원시 영통구
2014, , , ,"32,000",12,1,2021, , ,46.91,8,1352,에듀하임1309오피스텔,41117,수원시 영통구, ,이의동,수원시 영통구
2014, , , ,"53,000",5,1,2021, , ,62.99,7,1352,에듀하임1309오피스텔,41117,수원시 영통구, ,이의동,수원시 영통구
2014, , , ,"17,450",16,1,2021, , ,30.9053,12,1351,광교 경동 해피리움,41117,수원시 영통구, ,이의동,수원시 영통구
2015, , , ,"14,000",30,1,2021, , ,22.62,7,1338,광교센트럴푸르지오시티,41117,수원시 영통구, ,이의동,수원시 영통구
2014, ,21.02.02,O,"32,000",12,1,2021, , ,46.91,8,1352,에듀하임1309오피스텔,41117,수원시 영통구, ,이의동,수원시 영통구
2015, , , ,"14,250",14,1,2021, , ,22.62,12,1338,광교센트럴푸르지오시티,41117,수원시 영통구, ,이의동,수원시 영통구
2018, , , ,"34,000",26,1,2021, , ,38.65,14,1336-1,광교엘포트아이파크,41117,수원시 영통구, ,이의동,수원시 영통구
