,dealAmount,deposit,전세가율,buildYear,excluUseAr,floor,본번,부번,offiNm,sggCd,sggNm.x,umdNm.x
371,7275,3390.909091,46.61043424,2005,30.98,10,1010,1,청광 노블하임,41113,수원시 권선구,권선동
372,8736.363636,5233.333333,59.90287895,2005,30.98,11,1010,1,청광 노블하임,41113,수원시 권선구,권선동
373,7900,2062.5,26.10759494,2005,30.98,12,1010,1,청광 노블하임,41113,수원시 권선구,권선동
374,8240,5841.666667,70.89401294,2005,30.98,13,1010,1,청광 노블하임,41113,수원시 권선구,권선동
375,8175,3642.857143,44.56094364,2005,30.98,14,1010,1,청광 노블하임,41113,수원시 권선구,권선동
376,7825,5303.571429,67.77727065,2005,30.98,15,1010,1,청광 노블하임,41113,수원시 권선구,권선동
377,8100,8650,106.7901235,2005,32.62,7,1010,1,청광 노블하임,41113,수원시 권선구,권선동
378,8475,10000,117.9941003,2005,32.62,9,1010,1,청광 노블하임,41113,수원시 권선구,권선동
379,8000,500,6.25,2005,32.62,13,1010,1,청광 노블하임,41113,수원시 권선구,권선동
380,8000,4675,58.4375,2005,32.62,15,1010,1,청광 노블하임,41113,수원시 권선구,권선동
381,13300,10500,78.94736842,2005,36.77,7,1046,13,에스팝타워,41115,수원시 팔달구,인계동
382,11900,13188.88889,110.8309991,2005,37.5,6,1046,13,에스팝타워,41115,수원시 팔달구,인계동
383,13880,9026.666667,65.03362152,2005,37.5,8,1046,13,에스팝타워,41115,수원시 팔달구,인계동
384,11800,12333.33333,104.519774,2005,37.5,9,1046,13,에스팝타워,41115,수원시 팔달구,인계동
385,12933.33333,12660,97.88659794,2005,37.5,11,1046,13,에스팝타워,41115,수원시 팔달구,인계동
386,13325,9533.333333,71.54471545,2005,37.5,13,1046,13,에스팝타워,41115,수원시 팔달구,인계동
387,12650,10350,81.81818182,2005,37.5,15,1046,13,에스팝타워,41115,수원시 팔달구,인계동
388,13120,13175,100.4192073,2005,37.5,16,1046,13,에스팝타워,41115,수원시 팔달구,인계동
389,12975,13340,102.8131021,2005,37.5,17,1046,13,에스팝타워,41115,수원시 팔달구,인계동
390,13500,6520,48.2962963,2005,37.5,18,1046,13,에스팝타워,41115,수원시 팔달구,인계동
391,13000,2000,15.38461538,2005,37.5,19,1046,13,에스팝타워,41115,수원시 팔달구,인계동
392,12000,8000,66.66666667,2005,37.5,20,1046,13,에스팝타워,41115,수원시 팔달구,인계동
393,14300,1000,6.993006993,2005,39.53,9,1046,13,에스팝타워,41115,수원시 팔달구,인계동
394,13833.33333,2000,14.45783133,2005,39.53,11,1046,13,에스팝타워,41115,수원시 팔달구,인계동
395,13500,11000,81.48148148,2005,39.53,12,1046,13,에스팝타워,41115,수원시 팔달구,인계동
396,14250,1000,7.01754386,2005,39.53,16,1046,13,에스팝타워,41115,수원시 팔달구,인계동
397,14300,11666.66667,81.58508159,2005,39.53,17,1046,13,에스팝타워,41115,수원시 팔달구,인계동
398,14400,500,3.472222222,2005,39.53,18,1046,13,에스팝타워,41115,수원시 팔달구,인계동
399,14000,15000,107.1428571,2005,39.53,19,1046,13,에스팝타워,41115,수원시 팔달구,인계동
400,13300,6750,50.7518797,2005,39.53,20,1046,13,에스팝타워,41115,수원시 팔달구,인계동
401,16000,2000,12.5,2005,40.07,15,285,2,SK HUB BLUE,41111,수원시 장안구,율전동
402,12600,13166.66667,104.4973545,2005,43.47,3,1134,9,트윈파크비동,41115,수원시 팔달구,인계동
403,12000,6766.666667,56.38888889,2005,43.47,4,1134,9,트윈파크비동,41115,수원시 팔달구,인계동
404,13000,4857.142857,37.36263736,2005,43.47,5,1134,9,트윈파크비동,41115,수원시 팔달구,인계동
